page_url	image_url	author	title	annotation	genre
https://www.biblio-globus.ru/product/10925625	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10925625.jpg	Булгаков М.А. 	Мастер и Маргарита (Замена картинки)	"Бессмертное, загадочное и остроумное «Евангелие от Сатаны» Михаила Булгакова.
Роман, уникальный в российской литературе ХХ столетия. Трудно себе представить, какое влияние он оказал на мировую культуру.
На основе «Мастера и..."	Классическая литература
https://www.biblio-globus.ru/product/10922706	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10922706.jpg	Гоголь Н.В., Лермонтов М.Ю., Брюсов В.Я., Гумилев Н.С., Андреев Л.Н., Куприн А. И., Грин А.С., Платонов А.П. 	Карты. Нечисть. Безумие. Рассказы русских писателей 	"Все страсти людские нашли отражение на страницах этого сборника: тут и честолюбие на грани с одержимостью, и сжигающий все рамки приличия азарт, и хтонический страх перед чем-то древним и неизведанным...
А главное - безграничное..."	Классическая литература
https://www.biblio-globus.ru/product/10921574	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10921574.jpg	Чехов А.П. 	Остров Сахалин	Остров Сахалин, вышедший в 1895 году, был сразу назван талантливой и серьезной книгой; это рассказ очевидца не только о каторжных работах, кандалах, карцерах, побегах и виселице, это, что главнее, взгляд думающего человека на...	Классическая литература
https://www.biblio-globus.ru/product/10921325	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10921325.jpg	Лондон Д. 	Железная пята	«Железная пята» — весьма необычный и увлекательный роман-антиутопия, посвященный ближнему (на момент публикации в 1908 году) будущему США и планеты Земля в целом. Как и никому другому из мастеров антиутопического (да и...	Классическая литература
https://www.biblio-globus.ru/product/10921329	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10921329.jpg	Гессе Г. 	Игра в бисер	Перед вами — книга, без которой немыслима ВСЯ культура постмодернизма Европы — в литературе, в кино, в театре.  Что это — гениальный авангардистский роман, стилизованный под философию сюрреализма, или гениальное философское эссе,...	Классическая литература
https://www.biblio-globus.ru/product/10920949	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10920949.jpg	Золя Э.	Карьера Ругонов	Эмиль Золя (1840–1902) — один из столпов мировой реалистической литературы, предводитель и теоретик литературного движения натурализма, увлеченный исследователь повседневности, страстный публицист и правозащитник. Его самый...	Классическая литература
https://www.biblio-globus.ru/product/10918452	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10918452.jpg	Ильф И.А., Петров Е.П. 	12 стульев	Двенадцать стульев (1927 г.) — роман, написанный почти век назад, а кажется, что совсем недавно. Его цитируют все, даже те, кто не прочел ни страницы текста и не смотрел ни одной экранизации, а их было уже немало. Остап Бендер,...	Классическая литература
https://www.biblio-globus.ru/product/10918466	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10918466.jpg	Золя Э. 	Дамское счастье	«Дамское счастье» – первый в Париже (а значит, и во всем мире) универсальный магазин для дам. Пена кружев, волны шелков и бархата, тонкий аромат духов и блеск украшений, показы мод, священнодействие в примерочных, ажиотаж и...	Классическая литература
https://www.biblio-globus.ru/product/10917662	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10917662.jpg	Голсуорси Д.	Темный цветок	Этот роман классика английской литературы Джона Голсуорси (1867—1933) состоит из трех историй. Все они — о страсти, а сюжетно объединены главным героем по имени Марк Леннан, который на разных этапах своей жизни оказывается во...	Классическая литература
https://www.biblio-globus.ru/product/10866674	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10866674.jpg	Толстой  Л.Н.	Война и мир. Том III-IV	Война и мир -  самый известный роман Л.Н.Толстого, как никакое другое произведение писателя, отражает глубину его мироощущения и философии. Эта книга из разряда вечных, потому что она обо всем - о жизни и смерти, о любви и...	Классическая литература
https://www.biblio-globus.ru/product/10914112	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10914112.jpg	Лермонтов М.Ю. 	Герой нашего времени	Михаил Юрьевич Лермонтов (1814 -1841) - один из самых значительных поэтов русской литературы ХIХ века.  Сочетание простоты и возвышенности, естественности и оригинальности отличает руку мастера, а его умение объективно показывать...	Классическая литература
https://www.biblio-globus.ru/product/10912976	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10912976.jpg	Камю А. 	Посторонний	«Посторонний» — дебютная работа молодого писателя, своеобразный творческий манифест. Понятие абсолютной свободы — основной постулат этого манифеста. Героя этой повести судят за убийство, которое он совершил по самой глупой из...	Классическая литература
https://www.biblio-globus.ru/product/10874616	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10874616.jpg	Чуковский К.	Айболит. Сказки. Стихи. Песенки. Загадки	Сборник включает ставшие классикой стихи, повести и рассказы для детей Корнея Ивановича Чуковского; среди них «Доктор Айболит», «Мойдодыр», «Чудо-дерево», «Приключения Бибигона», «Муха Цокотуха», «Телефон», «Федорино горе»,...	Классическая литература
https://www.biblio-globus.ru/product/10891631	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10891631.jpg	Даррелл Л. 	Александрийский квартет (комплект)	Четыре части романа-тетралогии «Александрийский квартет» не зря носят имена своих главных героев. Читатель может посмотреть на одни и те же события – жизнь египетской Александрии до и во время второй мировой войны – глазами...	Классическая литература
https://www.biblio-globus.ru/product/10906110	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10906110.jpg	Булгаков М.	Записки юного врача	В нашем новом проекте вы найдете как книги из «золотого фонда» классической русской литературы, так и редкие, почти забытые, произведения авторов, оставшихся в тени своих великих современников. Эти книги не утратили самобытной...	Классическая литература
https://www.biblio-globus.ru/product/10905917	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10905917.jpg	Достоевский Ф.М. 	Преступление и наказание	Преступление и наказание - высочайший образец  криминального романа. В рамках жанра полицейского расследования писатель поставил вопросы, и по сей день не решенные. Кем должен быть человек: тварью дрожащей, как говорит...	Классическая литература
https://www.biblio-globus.ru/product/10905309	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10905309.jpg	Фицджеральд Ф.С. 	Великий Гэтсби	"«Великий Гэтсби» – знаменитое произведение Ф.С. Фицджеральда и один из самых популярных романов в мире.  
Блестящая «эпоха джаза» – шикарные вечеринки, «легкие» деньги, тайные страсти, шумные компании. Время, когда каждый мог..."	Классическая литература
